SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
32,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180101,,,01-Jan-2018,,61.34,180.41,,751.92,,,125.06,,12.94,45.85,32.92,8.63,7.65,1.07,52.03,7.69,,0.97,5.85,1.54
33,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180102,,,02-Jan-2018,,68.53,207.47,,752.69,,,132.47,,13.34,46.78,33.44,8.63,11.48,1.06,54.13,8.27,,1.5,5.52,1.56
34,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180103,,,03-Jan-2018,,88.33,250.56,,753.46,,,163.56,,24.84,70.75,45.91,10.45,11.17,1.48,37.94,13.81,,5.27,11.48,3.43
35,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180104,,,04-Jan-2018,,59.02,163.78,,752.91,,,124.96,,16.92,46.45,30.4,8.33,5.58,0.65,56.7,8.86,,1.86,5.24,1.31
36,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180105,,,05-Jan-2018,,60.89,144.3,,752.5,,,86.9,,10.82,34.16,23.35,7.48,9.35,1.08,66.41,7.26,,1.05,3.6,0.97
37,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180106,,,06-Jan-2018,,67.1,180.63,,752.0,,,158.19,,17.73,52.35,34.62,9.05,8.8,1.2,40.87,10.24,,2.41,6.56,2.0
38,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180107,,,07-Jan-2018,,59.91,154.26,,752.99,,,143.07,,15.97,46.07,30.1,8.07,22.29,1.03,51.81,8.35,,1.92,6.23,1.97
39,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180108,,,08-Jan-2018,,63.85,186.92,,754.46,,,145.77,,25.76,69.26,43.5,9.83,11.24,1.5,28.37,10.65,,3.64,10.33,3.45
40,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180109,,,09-Jan-2018,,71.79,197.14,,755.95,,,136.49,,24.96,65.05,40.09,9.83,8.32,1.66,48.83,10.26,,5.26,12.42,4.03
41,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180110,,,10-Jan-2018,,69.5,199.18,,755.99,,,185.53,,28.0,71.97,43.97,10.51,9.86,1.28,33.06,11.75,,5.71,15.14,4.51
42,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180111,,,11-Jan-2018,,60.36,181.0,,755.12,,,221.68,,26.89,80.85,54.0,14.87,13.28,1.38,22.37,10.55,,6.65,11.56,5.8
43,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180112,,,12-Jan-2018,,78.75,216.46,,754.18,,,201.61,,48.6,90.85,42.3,38.86,12.6,2.44,27.58,4.95,,1.33,4.12,1.32
44,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180113,,,13-Jan-2018,,73.74,202.05,,754.35,,,159.73,,76.36,132.64,56.27,40.96,9.08,1.16,27.14,3.64,,0.62,3.71,1.08
45,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180114,,,14-Jan-2018,,74.51,200.84,,753.55,,,229.83,,45.12,63.58,27.94,21.21,11.55,1.52,41.09,3.71,,0.4,2.11,0.59
46,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180115,,,15-Jan-2018,,62.78,162.21,,754.32,,,197.82,,52.93,53.4,8.05,38.28,9.35,1.34,29.5,3.28,,0.45,2.77,0.87
47,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180116,,,16-Jan-2018,,52.64,118.45,,757.03,,,188.58,,25.5,42.44,16.94,48.11,4.2,0.57,46.87,1.77,,0.34,1.81,0.43
48,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180117,,,17-Jan-2018,,46.89,83.45,,762.73,,,106.86,,14.8,30.78,15.21,32.76,7.37,0.41,71.96,0.83,,0.05,0.29,0.08
49,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180118,,,18-Jan-2018,,64.74,159.8,,763.74,,,142.4,,27.9,40.44,12.91,37.43,11.02,1.29,46.3,2.65,,0.36,2.53,0.84
50,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180119,,,19-Jan-2018,,58.33,143.45,,764.31,,,125.44,,28.09,42.79,14.71,38.23,7.28,0.64,41.74,1.56,,0.16,1.58,0.38
51,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180120,,,20-Jan-2018,,63.58,171.42,,764.04,,,175.4,,15.78,33.76,18.0,28.95,9.98,1.02,50.6,1.93,,0.13,1.45,0.41
52,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180121,,,21-Jan-2018,,59.33,140.07,,758.24,,,157.23,,23.12,34.0,12.37,35.25,7.42,0.89,42.9,1.7,,0.11,0.8,0.21
53,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180122,,,22-Jan-2018,,51.95,149.21,,761.01,,,129.91,,13.02,30.97,17.99,19.46,11.05,0.88,56.7,1.26,,0.52,3.55,3.31
54,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180123,,,23-Jan-2018,,49.72,137.61,,759.91,,,180.23,,11.59,26.82,15.45,18.22,7.8,0.62,44.52,1.1,,4.13,5.3,4.94
55,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180124,,,24-Jan-2018,,51.46,142.93,,762.43,,,235.19,,12.63,26.3,13.67,29.21,7.62,0.91,59.79,1.24,,0.38,0.74,0.23
56,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180125,,,25-Jan-2018,,50.05,129.14,,762.22,,,172.85,,30.43,33.69,14.22,32.68,5.66,1.32,40.14,2.32,,0.86,1.74,0.51
57,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180126,,,26-Jan-2018,,53.41,153.48,,762.34,,,176.3,,48.27,40.02,11.84,33.63,13.53,1.44,42.58,2.52,,1.04,2.1,0.58
58,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180127,,,27-Jan-2018,,53.57,134.85,,762.23,,,164.74,,22.51,43.13,20.91,28.17,23.27,1.14,58.19,2.01,,0.62,1.25,0.39
59,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180128,,,28-Jan-2018,,50.23,138.47,,762.94,,,144.46,,21.08,45.19,24.12,29.58,27.36,1.28,58.21,2.04,,0.61,1.19,0.34
60,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180129,,,29-Jan-2018,,51.6,142.63,,764.37,,,136.86,,19.23,43.37,24.14,24.35,23.46,1.5,66.8,2.37,,0.77,1.52,0.49
61,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180130,,,30-Jan-2018,,56.07,218.92,,764.63,,,219.65,,29.84,48.76,20.55,25.74,14.52,2.11,37.79,3.03,,1.44,2.96,0.96
62,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180131,,,31-Jan-2018,,56.91,223.14,,764.06,,,241.04,,26.58,36.1,17.14,22.08,14.22,1.92,40.41,2.47,,1.41,2.88,1.0
63,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180201,,,01-Feb-2018,,56.94,209.3,,763.64,,,196.05,,42.94,43.13,16.7,26.56,10.74,1.82,31.44,3.72,,1.81,3.69,1.16
64,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180202,,,02-Feb-2018,,60.19,182.45,,762.04,,,173.29,,19.73,31.84,12.63,20.86,9.98,0.95,33.89,1.7,,1.02,2.12,0.54
65,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180203,,,03-Feb-2018,,39.56,185.58,,763.64,,,106.56,,8.01,19.94,11.93,14.54,24.58,1.12,64.07,0.69,,0.29,0.59,0.16
66,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180204,,,04-Feb-2018,,58.75,170.7,,764.36,,,89.83,,8.43,18.8,10.37,16.26,16.05,1.3,75.45,1.03,,0.3,0.59,0.17
67,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180205,,,05-Feb-2018,,67.46,174.16,,765.59,,,68.11,,7.47,18.01,10.54,11.08,14.63,0.95,66.99,1.11,,0.16,0.29,0.08
68,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180206,,,06-Feb-2018,,54.86,166.52,,765.6,,,55.74,,8.42,21.3,12.88,13.05,23.92,1.1,47.37,0.89,,0.29,0.59,0.14
69,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180207,,,07-Feb-2018,,47.96,165.41,,763.67,,,134.28,,14.92,26.76,12.19,13.8,18.33,1.01,50.25,1.52,,0.62,1.24,0.36
70,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180208,,,08-Feb-2018,,37.76,162.98,,762.58,,,86.75,,11.06,30.04,19.03,11.29,10.97,0.65,67.22,1.04,,0.4,0.8,0.21
