S. No.,Date,Day,Confirmed Cases,Active Cases,Cured/Discharged,Death
230,27-10-2020,3,188048,16233,169962,1853
231,28-10-2020,4,189844,15949,172028,1867
232,29-10-2020,5,191629,15708,174044,1877
233,30-10-2020,6,193419,15554,175977,1888
234,31-10-2020,7,195213,15251,178064,1898
235,01-11-2020,1,196993,15102,179984,1907
236,02-11-2020,2,198747,15255,181575,1917
237,03-11-2020,3,200495,15889,182680,1926
238,04-11-2020,4,202220,16385,183899,1936
239,05-11-2020,5,203990,16323,185722,1945
240,06-11-2020,6,205800,16301,187544,1955
241,07-11-2020,7,207597,16277,189354,1966
242,08-11-2020,1,209438,16327,191132,1979
243,09-11-2020,2,211310,16376,192945,1989
244,10-11-2020,3,213169,16542,194629,1998
245,11-11-2020,4,215071,16725,196338,2008
246,12-11-2020,5,217151,16993,198139,2019
247,13-11-2020,6,219327,17352,199943,2032
248,14-11-2020,7,221471,17657,201770,2044
249,15-11-2020,1,223633,18053,203524,2056
250,16-11-2020,2,225817,18337,205414,2066
251,17-11-2020,3,227986,18684,207224,2078
252,18-11-2020,4,230180,19033,209058,2089
253,19-11-2020,5,232358,19478,210779,2101
254,20-11-2020,6,234907,20168,212623,2116
255,21-11-2020,7,237669,20923,214616,2130
256,22-11-2020,1,240676,21951,216579,2146
257,23-11-2020,2,243936,23190,218583,2163
258,24-11-2020,3,247168,24116,220871,2181
259,25-11-2020,4,250482,25197,223085,2200
260,26-11-2020,5,253767,26320,225229,2218
261,27-11-2020,6,256947,27302,227408,2237
262,28-11-2020,7,260040,28183,229602,2255
263,29-11-2020,1,262805,28751,231780,2274
264,30-11-2020,2,265386,28758,234336,2292
265,01-12-2020,3,268063,28653,237098,2312
266,02-12-2020,4,270410,27974,240105,2331
267,03-12-2020,5,272400,26710,243340,2350
268,04-12-2020,6,274486,25544,246572,2370
269,05-12-2020,7,276420,24318,249713,2389
270,06-12-2020,1,278496,23176,252911,2409
271,07-12-2020,2,280585,22427,255729,2429
272,08-12-2020,3,282512,21671,258393,2448
273,09-12-2020,4,284116,20875,260773,2468
274,10-12-2020,5,285627,19792,263350,2485
275,11-12-2020,6,287219,19030,265689,2500
276,12-12-2020,7,288692,17721,268457,2514
277,13-12-2020,1,289999,16821,270650,2528
278,14-12-2020,2,291289,16629,272118,2542
279,15-12-2020,3,292539,16200,273784,2555
280,17-12-2020,5,294831,14510,277743,2578
281,18-12-2020,6,295953,13647,279717,2589
282,19-12-2020,7,297029,13058,281372,2599
283,20-12-2020,1,298018,12779,282631,2608
284,21-12-2020,2,298996,12422,283957,2617
285,22-12-2020,3,299909,11961,285322,2626
286,23-12-2020,4,300716,11601,286481,2634
287,24-12-2020,5,301708,11648,287418,2642
288,25-12-2020,6,302709,11671,288388,2650
289,26-12-2020,7,303732,11700,289375,2657
290,27-12-2020,1,304517,11488,290365,2664
291,28-12-2020,2,305360,11157,291533,2670
292,29-12-2020,3,306158,10742,292739,2677
293,30-12-2020,4,306784,10213,293888,2683
294,31-12-2020,5,307554,9835,295030,2689
295,03-01-2021,1,309319,8795,297819,2705
296,04-01-2021,2,309821,8491,298620,2710
297,05-01-2021,3,310278,8189,299375,2714
298,06-01-2021,4,310675,7830,300126,2719
299,07-01-2021,5,311111,7698,300690,2723
300,08-01-2021,6,311620,7468,301425,2727
301,09-01-2021,7,312091,7402,301962,2727
302,10-01-2021,1,312521,6730,303060,2731
303,11-01-2021,2,312996,6726,303536,2734
304,12-01-2021,3,313425,6585,304104,2736
305,13-01-2021,4,313718,6200,304779,2739
306,14-01-2021,5,314091,5780,305569,2742
307,15-01-2021,6,314372,5675,305953,2744
308,16-01-2021,7,314682,5608,306330,2744
309,17-01-2021,1,314920,5286,306888,2746
310,18-01-2021,2,315181,5050,307384,2747
311,19-01-2021,3,315394,4634,308010,2750
312,20-01-2021,4,315603,4304,308547,2752
313,21-01-2021,5,315816,4077,308985,2754
314,22-01-2021,6,316081,3934,309391,2756
315,23-01-2021,7,316282,3719,309807,2756
316,24-01-2021,1,316485,3448,310279,2758
317,25-01-2021,2,316652,3147,310747,2758
318,27-01-2021,4,316970,2836,311374,2760
319,28-01-2021,5,317104,2664,311679,2761
320,29-01-2021,6,317189,2559,311867,2763
321,30-01-2021,7,317292,2395,312132,2765
322,31-01-2021,1,317396,2260,312370,2766
323,01-02-2021,2,317491,2161,312564,2766
324,02-02-2021,3,317587,1948,312873,2766
325,03-02-2021,4,317674,1798,313108,2768
326,04-02-2021,5,317766,1692,313304,2770
327,05-02-2021,6,317905,1638,313496,2771
328,06-02-2021,7,318021,1581,313669,2771
329,07-02-2021,1,318118,1527,313819,2772
330,08-02-2021,2,318193,1464,313957,2772
331,09-02-2021,3,318294,1470,314050,2774
332,10-02-2021,4,318384,1435,314175,2774
333,11-02-2021,5,318491,1450,314264,2777
334,12-02-2021,6,318602,1385,314438,2779
335,13-02-2021,7,318710,1407,314523,2780
336,14-02-2021,1,318820,1409,314630,2781
337,15-02-2021,2,318923,1409,314733,2781
338,16-02-2021,3,319005,1365,314859,2781
339,17-02-2021,4,319065,1257,315027,2781
340,18-02-2021,5,319166,1249,315135,2782
341,19-02-2021,6,319270,1275,315212,2783
342,20-02-2021,7,319363,1269,315310,2784
343,21-02-2021,1,319461,1300,315376,2785
344,22-02-2021,2,319543,1245,315513,2785
345,23-02-2021,3,319626,1206,315635,2785
346,24-02-2021,4,319702,1195,315722,2785
347,25-02-2021,5,319801,1204,315812,2785
348,26-02-2021,6,319929,1208,315936,2785
349,27-02-2021,7,320078,1231,316061,2786
350,01-03-2021,2,320336,1308,316241,2787
351,02-03-2021,3,320455,1304,316364,2787
352,03-03-2021,4,320557,1340,316430,2787
353,04-03-2021,5,320772,1470,316515,2787
354,06-03-2021,7,321123,1584,316750,2789
355,07-03-2021,1,321356,1703,316864,2789
356,08-03-2021,2,321532,1755,316988,2789
357,09-03-2021,3,321711,1883,317039,2789
358,10-03-2021,4,321890,1963,317138,2789
359,11-03-2021,5,322078,2032,317257,2789
360,13-03-2021,7,322518,2242,317487,2789
361,14-03-2021,1,322719,2329,317601,2789
362,15-03-2021,2,322969,2453,317726,2790
363,16-03-2021,3,323220,2572,317858,2790
364,17-03-2021,4,323461,2661,318009,2791
365,18-03-2021,5,323774,2851,318132,2791
366,19-03-2021,6,324101,3023,318284,2794
367,20-03-2021,7,324503,3121,318586,2796
368,21-03-2021,1,324948,3310,318842,2796
369,22-03-2021,2,325424,3585,319041,2798
370,23-03-2021,3,326026,4006,319217,2803
371,24-03-2021,4,326506,4262,319437,2807
372,25-03-2021,5,327175,4672,319695,2808
373,27-03-2021,7,328743,5733,320199,2811
374,28-03-2021,1,329595,6358,320426,2811
375,29-03-2021,2,330676,7159,320704,2813
376,30-03-2021,3,331578,7794,320971,2813
377,31-03-2021,4,332243,8155,321275,2813
378,01-04-2021,5,333149,8663,321668,2818
379,02-04-2021,6,334499,9563,322114,2822
380,03-04-2021,7,335921,10484,322613,2824
381,04-04-2021,1,337596,11738,323031,2827
382,05-04-2021,2,339325,12878,323618,2829
383,06-04-2021,3,341754,14768,324145,2841
384,07-04-2021,4,343990,16140,324996,2854
385,08-04-2021,5,346791,18146,325779,2866
386,09-04-2021,6,350317,21152,326299,2866
387,10-04-2021,7,354287,24085,327304,2898
388,11-04-2021,1,358688,27906,327866,2916
389,12-04-2021,2,363793,31986,328881,2926
390,13-04-2021,3,369564,36441,330172,2951
391,14-04-2021,4,375092,40690,331423,2979
392,15-04-2021,5,381292,44905,333379,3008
393,16-04-2021,6,387950,49276,335633,3041
394,17-04-2021,7,395309,53813,338424,3072
395,18-04-2021,1,404355,59999,341247,3109
396,19-04-2021,2,414617,67135,344331,3151
397,20-04-2021,3,426584,76641,346739,3204
398,21-04-2021,4,438785,85571,349946,3268
399,22-04-2021,5,453407,96366,353711,3330
400,23-04-2021,6,467875,107157,357329,3389
401,24-04-2021,7,483273,117294,362526,3453
402,25-04-2021,1,498628,127616,367485,3527
403,26-04-2021,2,514437,136702,374134,3601
404,27-04-2021,3,530875,146640,380550,3685
405,28-04-2021,4,546964,155182,387976,3806
406,29-04-2021,5,563577,163372,396279,3926
407,30-04-2021,6,580846,169519,407243,4084
408,01-05-2021,7,598001,176485,417277,4239
409,02-05-2021,1,615653,182301,428953,4399
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
